ticket_id,customer_id,category,priority,status,created_at,first_response_at,resolved_at,rating,resolution_text,agent_name,channel,is_escalated
TKT-00405,CUST-0369,TECHNICAL,Medium,Open,2024-02-18T00:00:00,2024-02-21T00:00:00,2024-02-28T00:00:00,5.0,Issue resolved by resetting the API key and clearing the cache.,Michael,,False
TKT-00927,CUST-0177,security,critical,open,04/25/2023 00:00+05:30,2023-04-25,2023-04-25,N/A,Issue resolved by resetting the API key and clearing the cache.,,,0
TKT-00317,CUST-0429,feature_request,HIGH,escalated,2024-12-27+03:00,28-Dec-2024,06-Jan-2025,N/A,Refund processed as per company policy.,Jennifer,chat,1
TKT-00904,CUST-0293,Feature Request,hi,Open,2023/03/29+00:00,29-Mar-2023,04-01-2023,four,Bug confirmed in v2.3.1. Hotfix deployed.,Richard,chat,no
TKT-00572,CUST-0074,TECHNICAL,HIGH,escalated,03/02/2025 00:00-05:00,2025-03-02T01:00:00,04-Mar-2025,4 stars,<p>Resolved via <b>live chat</b> session.</p>,Linda,CHAT,True
TKT-00489,CUST-0322,feature_request,HIGH,resolved,05/16/2024 00:00,16/05/2024,2024/05/16,5,<p>Resolved via <b>live chat</b> session.</p>,,CHAT,N
TKT-00206,CUST-0357,security,Low,resolved,2025/09/26,26/09/2025,"Oct 01, 2025",5 stars,,William,chat,no
TKT-00693,CUST-0461,,hi,open,2025-07-15-08:00,2025-07-15,null,5/5,Customer was on an outdated plan. Migrated to current tier.,Robert,in-app,False
TKT-00225,CUST-0118,Feature Request,Low,in_progress,01/06/2025 00:00,01/08/2025 00:00,,,Issue resolved by resetting the API key and clearing the cache.,Barbara,email,True
TKT-01842,CUST-0460,security,crit,in_progress,2024-06-12-05:00,2024/06/12,null, 2 ,,William,phone,True
TKT-00201,CUST-0164,technical,HIGH,closed,2025/10/18-08:00,10/19/2025 00:00,10/21/2025 00:00,,,Christopher,,False
TKT-01413,CUST-0039,Feature Request,Low,IN_PROGRESS,2025/09/14,14-Sep-2025,null,5,,Elizabeth,Email,Y
TKT-00547,CUST-0409,account,medium,escalated,19-May-2024+09:00,2024-05-19,"May 24, 2024",5.0,Network issue on customer side. Confirmed with traceroute.,Michael,Email,no
TKT-00177,CUST-0172,billing,medium,resolved,2025/10/22Z,10-24-2025,"Oct 22, 2025",3.0,Bug confirmed in v2.3.1. Hotfix deployed.,Joseph,chat,False
TKT-00162,CUST-0119,Integration,crit,resolved,26/08/2025-08:00,,08-29-2025,4/5,Escalated to engineering team for further investigation.,William,chat,0
TKT-01441,CUST-0460,ACCOUNT,high,resolved,02/14/2024 00:00,"Feb 15, 2024",02-19-2024,five,Issue resolved by resetting the API key and clearing the cache.,Richard,,False
TKT-01080,CUST-0094,technical,med,in_progress,05-07-2025+05:30,09/05/2025,2025-05-09, 2 ,Provided documentation link for the integration setup.,Sarah,chat,True
TKT-00122,CUST-0112,integration,med,in_progress,2024/10/26+03:00,"Oct 26, 2024",null,4,<p>Resolved via <b>live chat</b> session.</p>,Jennifer,CHAT,no
TKT-01353,CUST-0440,ACCOUNT,HIGH,closed,2025-10-12,2025-10-15T00:00:00,10/22/2025 00:00,3,Escalated to engineering team for further investigation.,Susan,phone,1
TKT-00709,CUST-0380,feature_request,HIGH,closed,"Jun 06, 2023-05:00",06-06-2023,2023/06/08,3,Issue resolved by resetting the API key and clearing the cache.,Barbara,CHAT,False
TKT-00457,CUST-0113,feature_request,critical,escalated,2024-07-02T00:00:00+05:30,2024/07/05,02/07/2024,3,Provided documentation link for the integration setup.,Susan,,Y
TKT-01476,CUST-0489,billing,hi,Resolved,"Mar 17, 2024-05:00",2024/03/17,17/03/2024, 5 ,,James,email,0
TKT-00437,CUST-0041,technical,critical,CLOSED,2024-12-01T00:00:00,2024/12/01,2024-12-03,,<p>Resolved via <b>live chat</b> session.</p>,James,,false
TKT-01088,CUST-0256,feature_request,CRITICAL,Resolved,23/02/2024+03:00,25-Feb-2024,2024-02-23,3.0,,Patricia,Email,True
TKT-01591,CUST-0317,TECHNICAL,hi,escalated,2023-04-08T00:00:00-05:00,2023-04-08T04:00:00,"Apr 08, 2023",3.0,Network issue on customer side. Confirmed with traceroute.,William,chat,Y
TKT-00612,CUST-0494,Feature Request,med,closed,07/10/2023,,2023-10-07,4 stars,Issue resolved by resetting the API key and clearing the cache.,Barbara,,false
TKT-00327,CUST-0039,security,low,escalated,2025/02/18-05:00,2025/02/19,null,2 stars,Customer was on an outdated plan. Migrated to current tier.,Joseph,chat,1
TKT-01800,CUST-0381,,high,open,03-May-2024Z,2024-05-05,,5,,Barbara,email,N
TKT-00730,CUST-0069,ACCOUNT,Medium,Open,"Mar 13, 2025-08:00",13/03/2025,2025-03-18,N/A,Refund processed as per company policy.,Barbara,Email,0
TKT-00410,CUST-0088,technical,low,open,06-12-2024+00:00,12-Jun-2024,19/06/2024,4 stars,Escalated to engineering team for further investigation.,Elizabeth,phone,Y
TKT-01679,CUST-8541,billing,HIGH,resolved,30-May-2025+00:00,"May 30, 2025",06-09-2025,five,Refund processed as per company policy.,James,phone,no
TKT-01874,CUST-0016,Feature Request,medium,IN_PROGRESS,11-Sep-2023,2023/09/11,12-Sep-2023,4/5,,Sarah,in-app,0
TKT-01147,CUST-0119,Billing,Medium,in_progress,"May 27, 2024Z",2024-05-29T00:00:00,"May 27, 2024",2.0,,Sarah,in-app,False
TKT-00583,CUST-0444,security,Low,Resolved,08-28-2024+00:00,"Aug 31, 2024",2024-08-30,N/A,Refund processed as per company policy.,Linda,,True
TKT-01621,CUST-0445,integration,low,Open,10/10/2023 00:00,10-Oct-2023,N/A,4,,William,phone,0
TKT-00962,CUST-0456,security,HIGH,CLOSED,2024-09-01,2024-09-01T04:00:00,N/A,4,Refund processed as per company policy.,David,Email,False
TKT-01935,CUST-0129,account,high,resolved,24-Feb-2024+03:00,02/24/2024 04:00,2024-02-24,4/5,,,CHAT,0
TKT-01126,CUST-0065,account,crit,open,"Nov 01, 2023Z",N/A,01/11/2023,,User error - provided step-by-step guide.,Barbara,CHAT,true
TKT-01820,CUST-0032,Feature Request,crit,in_progress,2023/12/11+00:00,"Dec 11, 2023",2023-12-11T02:00:00,1 stars,Customer was on an outdated plan. Migrated to current tier.,Richard,CHAT,true
TKT-01550,CUST-0188,TECHNICAL,Medium,Open,06-05-2025+00:00,2025-06-05,2025/06/05,,User error - provided step-by-step guide.,Linda,email,Y
TKT-00841,CUST-0077,TECHNICAL,hi,in_progress,06-27-2025+03:00,2025-06-27,06-27-2025,three,User error - provided step-by-step guide.,Sarah,phone,1
TKT-00086,CUST-0062,feature_request,HIGH,Open,"Jun 27, 2025-08:00",27-Jun-2025,07-04-2025, 5 ,<div>Fixed the <a href='#'>configuration</a> issue</div>,Joseph,phone,0
TKT-01059,CUST-0122,TECHNICAL,HIGH,Open,2023/09/23-05:00,N/A,09/23/2023 01:00, 5 ,<p>Resolved via <b>live chat</b> session.</p>,David,Phone,True
TKT-01567,CUST-0173,,hi,Resolved,05-23-2025-05:00,2025/05/23,2025/05/25,N/A,Bug confirmed in v2.3.1. Hotfix deployed.,William,CHAT,False
TKT-00617,CUST-0279,Integration,med,escalated,15-Sep-2024-05:00,09/15/2024 01:00,20/09/2024,,,David,Email,1
TKT-00021,CUST-0029,ACCOUNT,high,Resolved,19/09/2023-08:00,22-Sep-2023,09-19-2023,five,<div>Fixed the <a href='#'>configuration</a> issue</div>,,Email,True
TKT-01707,CUST-0234,TECHNICAL,Low,Resolved,2025/10/03,10-05-2025,10-06-2025,3/5,Escalated to engineering team for further investigation.,Patricia,chat,no
TKT-01847,CUST-0445,Feature Request,critical,Resolved,07-Mar-2023-05:00,,12-Mar-2023,,Bug confirmed in v2.3.1. Hotfix deployed.,Mary,in-app,false
TKT-01573,CUST-0124,feature_request,crit,open,2025-09-02,05/09/2025,2025/09/09,,,Susan,Phone,False
TKT-01519,CUST-0167,feature_request,high,resolved,2023-06-07,10-Jun-2023,06/07/2023 02:00,3.0,Network issue on customer side. Confirmed with traceroute.,Robert,,1
TKT-01330,CUST-0020,Integration,critical,IN_PROGRESS,2023-06-17,18-Jun-2023,,5.0,<p>Resolved via <b>live chat</b> session.</p>,Mary,email,false
TKT-01829,CUST-0460,Integration,hi,Open,31-Mar-2025+09:00,"Apr 02, 2025",10/04/2025,3,<div>Fixed the <a href='#'>configuration</a> issue</div>,,phone,false
TKT-00748,CUST-0353,Integration,hi,closed,03/25/2025 00:00,"Mar 25, 2025",03-25-2025,5 stars,Issue resolved by resetting the API key and clearing the cache.,Elizabeth,in-app,0
TKT-00934,CUST-0251,,critical,escalated,10/04/2023 00:00,04-Oct-2023,null,,,Joseph,Phone,no
TKT-00372,CUST-0417,ACCOUNT,HIGH,open,2023/08/10,10/08/2023,10/08/2023,four,User error - provided step-by-step guide.,Mary,in-app,1
TKT-00783,CUST-0288,technical,critical,IN_PROGRESS,20-Jul-2024+09:00,23-Jul-2024,null,four,User error - provided step-by-step guide.,Mary,email,true
TKT-01654,CUST-0438,integration,hi,Open,2023-08-14T00:00:00+00:00,2023/08/14,"Aug 17, 2023",N/A,,Elizabeth,Phone,no
TKT-00630,CUST-0438,feature_request,Medium,open,22/08/2024+03:00,22-Aug-2024,2024-08-24T00:00:00,4,Issue resolved by resetting the API key and clearing the cache.,Jennifer,Email,True
TKT-00695,CUST-0478,ACCOUNT,Medium,escalated,"May 26, 2025",2025/05/26,2025-05-29, 5 ,,James,phone,0
TKT-01969,CUST-0225,TECHNICAL,low,IN_PROGRESS,2024-05-08T00:00:00Z,05-10-2024,null,five,,Karen,CHAT,false
TKT-01927,CUST-0034,ACCOUNT,crit,IN_PROGRESS,04-14-2024-08:00,14/04/2024,04-21-2024, 4 ,,Mary,CHAT,False
TKT-01082,CUST-0324,account,medium,open,12/10/2023+09:00,,2023-10-12,5/5,,,in-app,false
TKT-01215,CUST-0382,account,Low,in_progress,06-14-2025-08:00,06/15/2025 00:00,06-21-2025, 2 ,<p>Resolved via <b>live chat</b> session.</p>,Susan,phone,0
TKT-01864,CUST-0108,feature_request,med,open,11-Aug-2024+09:00,,"Aug 11, 2024",4,Network issue on customer side. Confirmed with traceroute.,,Email,False
TKT-00166,CUST-8935,security,med,in_progress,2025-09-20,09-20-2025,N/A,three,Network issue on customer side. Confirmed with traceroute.,James,,0
TKT-00181,CUST-0205,,medium,closed,2023/12/23Z,,2023/12/30,one,Provided documentation link for the integration setup.,David,,0
TKT-00978,CUST-0161,technical,HIGH,in_progress,04-Nov-2024,2024/11/04,2024-11-05,N/A,,Christopher,Email,True
TKT-01986,CUST-0168,integration,med,IN_PROGRESS,12/23/2023 00:00,12/23/2023 04:00,"Jan 02, 2024",five,,Jennifer,Phone,True
TKT-00621,CUST-0066,account,crit,Resolved,2025-08-20T00:00:00+09:00,"Aug 20, 2025",2025/08/20, 5 ,Issue resolved by resetting the API key and clearing the cache.,Joseph,Phone,true
TKT-00742,CUST-0417,billing,Medium,in_progress,2023/07/02-05:00,07-02-2023,07/02/2023 04:00, 5 ,Refund processed as per company policy.,James,chat,true
TKT-01517,CUST-0299,Billing,Medium,in_progress,12-15-2024,2024-12-15,22/12/2024,3 stars,Customer was on an outdated plan. Migrated to current tier.,,Email,yes
TKT-00396,CUST-0354,TECHNICAL,HIGH,in_progress,2024-02-17T00:00:00+03:00,2024-02-17,N/A,five,Issue resolved by resetting the API key and clearing the cache.,Sarah,,true
TKT-01146,CUST-0047,feature_request,HIGH,open,01/15/2025 00:00,2025-01-15T12:00:00,15/01/2025,5 stars,Customer was on an outdated plan. Migrated to current tier.,Linda,chat,Y
TKT-00072,CUST-0146,feature_request,critical,CLOSED,02-Oct-2023+09:00,02-Oct-2023,2023/10/07,four,,Thomas,phone,yes
TKT-01243,CUST-0195,ACCOUNT,low,resolved,2024/10/09-08:00,10-09-2024,"Oct 14, 2024", 4 ,<p>Resolved via <b>live chat</b> session.</p>,Joseph,in-app,no
TKT-00837,CUST-0129,,Low,open,08-29-2024,29-Aug-2024,2024-08-29,N/A,Issue resolved by resetting the API key and clearing the cache.,David,in-app,0
TKT-00884,CUST-0152,TECHNICAL,CRITICAL,Open,"Sep 10, 2024Z",2024-09-10T01:00:00,13-Sep-2024,4/5,Network issue on customer side. Confirmed with traceroute.,Jennifer,in-app,True
TKT-00890,CUST-0095,feature_request,critical,resolved,2023-01-25T00:00:00-08:00,,02-04-2023,N/A,User error - provided step-by-step guide.,John,Email,true
TKT-01285,CUST-0245,,Low,Resolved,2025/02/13+05:30,"Feb 13, 2025","Feb 13, 2025",,<div>Fixed the <a href='#'>configuration</a> issue</div>,James,Email,yes
TKT-01687,CUST-0321,ACCOUNT,hi,CLOSED,2024-07-18+05:30,07/18/2024 02:00,"Jul 20, 2024",four,<div>Fixed the <a href='#'>configuration</a> issue</div>,Barbara,in-app,True
TKT-00100,CUST-0262,feature_request,Low,escalated,28-Mar-2024+05:30,28/03/2024,03/29/2024 00:00, 4 ,Bug confirmed in v2.3.1. Hotfix deployed.,Robert,Phone,Y
TKT-01865,CUST-0448,Billing,Low,open,22/08/2023+05:30,"Aug 23, 2023",2023-09-01T00:00:00,5 stars,,Jessica,CHAT,false
TKT-01224,CUST-0282,TECHNICAL,HIGH,open,05-Mar-2024-05:00,06-Mar-2024,05-Mar-2024,4,<div>Fixed the <a href='#'>configuration</a> issue</div>,,,N
TKT-00387,CUST-0422,Feature Request,Medium,open,2024/12/10+09:00,2024-12-10,10/12/2024,,,Karen,email,True
TKT-01589,CUST-0066,integration,hi,open,12/10/2024 00:00,10/12/2024,20-Dec-2024, 5 ,Issue resolved by resetting the API key and clearing the cache.,David,email,yes
TKT-00848,CUST-0454,Billing,medium,in_progress,08-19-2024,19-Aug-2024,22/08/2024,4/5,<p>Resolved via <b>live chat</b> session.</p>,Robert,Email,0
TKT-00343,CUST-0172,integration,CRITICAL,open,2025-01-15-08:00,2025-01-15,N/A,4,Bug confirmed in v2.3.1. Hotfix deployed.,Thomas,,no
TKT-01127,CUST-0196,Billing,crit,escalated,12-Oct-2025+05:30,"Oct 13, 2025",2025/10/12,,Issue resolved by resetting the API key and clearing the cache.,,,Y
TKT-01512,CUST-0126,security,low,resolved,15/06/2023-05:00,2023/06/15,2023-06-15T02:00:00,3.0,Provided documentation link for the integration setup.,Mary,CHAT,True
TKT-00740,CUST-0447,billing,medium,Resolved,"Feb 27, 2024Z",2024/03/01,2024-03-01,N/A,Escalated to engineering team for further investigation.,Robert,phone,no
TKT-01592,CUST-0232,integration,hi,closed,12-Mar-2025,"Mar 12, 2025",12/03/2025,,Bug confirmed in v2.3.1. Hotfix deployed.,Linda,chat,0
TKT-00933,CUST-0095,integration,medium,closed,08-14-2024+03:00,14-Aug-2024,N/A,5/5,,Karen,phone,False
TKT-01722,CUST-0448,technical,critical,closed,"Jul 25, 2024",2024/07/25,N/A,N/A,Provided documentation link for the integration setup.,Robert,CHAT,yes
TKT-01140,CUST-0480,feature_request,critical,resolved,06-24-2025-08:00,06/24/2025 01:00,2025/06/29,N/A,,Linda,chat,Y
TKT-00853,CUST-0003,account,Low,IN_PROGRESS,11/13/2023 00:00,14-Nov-2023,,5 stars,Customer was on an outdated plan. Migrated to current tier.,Mary,Email,False
TKT-01968,CUST-0251,ACCOUNT,Medium,in_progress,2023/08/17Z,08-17-2023,2023/08/17,,Bug confirmed in v2.3.1. Hotfix deployed.,Barbara,,False
TKT-01535,CUST-0340,account,med,CLOSED,10/30/2025 00:00,10-30-2025,"Oct 31, 2025", 2 ,Refund processed as per company policy.,Jessica,,no
TKT-00001,CUST-0412,Feature Request,CRITICAL,escalated,2023-09-21T00:00:00+05:30,,26/09/2023,2.0,,Michael,CHAT,0
TKT-00863,CUST-0300,Billing,hi,open,02-07-2024-08:00,,2024-02-17,four,Bug confirmed in v2.3.1. Hotfix deployed.,Karen,in-app,true
TKT-01232,CUST-0359,technical,low,closed,"Feb 18, 2024+05:30",20/02/2024,2024-02-20, 3 ,Network issue on customer side. Confirmed with traceroute.,,email,false
TKT-00674,CUST-0494,,Low,Open,22/02/2024,22/02/2024,N/A,3.0,<p>Resolved via <b>live chat</b> session.</p>,Thomas,Phone,0
TKT-01813,CUST-0246,integration,hi,Open,2024-11-03Z,N/A,05-Nov-2024,4 stars,<p>Resolved via <b>live chat</b> session.</p>,Jessica,Email,0
TKT-01728,CUST-0147,integration,HIGH,closed,2023-06-28T00:00:00+05:30,,03-Jul-2023,4 stars,Customer was on an outdated plan. Migrated to current tier.,Linda,in-app,true
TKT-00288,CUST-0421,,med,resolved,01/28/2025 00:00Z,01-30-2025,28/01/2025,5/5,Refund processed as per company policy.,,CHAT,yes
TKT-00697,CUST-0236,technical,medium,open,2024-10-11Z,,"Oct 18, 2024",1.0,Refund processed as per company policy.,Jennifer,email,true
TKT-01319,CUST-0240,ACCOUNT,medium,closed,12-28-2025+00:00,2025/12/29,,,Bug confirmed in v2.3.1. Hotfix deployed.,,Email,1
TKT-00533,CUST-0025,security,critical,in_progress,2023/02/27,2023-02-27,2023-02-27,four,Provided documentation link for the integration setup.,,in-app,1
TKT-01987,CUST-0220,Feature Request,critical,CLOSED,2023-01-20,21-Jan-2023,,,Refund processed as per company policy.,Joseph,,1
TKT-01814,CUST-0110,security,med,Resolved,27-Jul-2025+00:00,,2025/07/30,N/A,Network issue on customer side. Confirmed with traceroute.,James,email,yes
TKT-01303,CUST-0429,ACCOUNT,critical,escalated,"May 21, 2024",2024-05-21,N/A,5 stars,Bug confirmed in v2.3.1. Hotfix deployed.,Patricia,email,1
TKT-01189,CUST-0408,security,medium,CLOSED,27/02/2024+09:00,2024-02-27T01:00:00,02/27/2024 12:00,five,Network issue on customer side. Confirmed with traceroute.,,Email,true
TKT-01045,CUST-0257,feature_request,HIGH,escalated,15-Aug-2023+00:00,,08-20-2023,five,Provided documentation link for the integration setup.,Thomas,,0
TKT-00369,CUST-0091,billing,Low,escalated,2024/11/07,11/07/2024 04:00,11-07-2024,2 stars,Customer was on an outdated plan. Migrated to current tier.,William,in-app,1
TKT-00340,CUST-0485,ACCOUNT,Medium,resolved,2025-03-02T00:00:00+05:30,2025-03-02,2025-03-02,,Issue resolved by resetting the API key and clearing the cache.,Sarah,chat,True
TKT-00688,CUST-0017,feature_request,Medium,CLOSED,24/03/2025Z,2025-03-27,03-24-2025,4,User error - provided step-by-step guide.,Patricia,phone,true
TKT-01539,CUST-0378,feature_request,med,Open,"Dec 07, 2024+05:30",08/12/2024,07/12/2024,,Issue resolved by resetting the API key and clearing the cache.,Mary,Phone,yes
TKT-01402,CUST-0253,security,hi,CLOSED,2023-12-15T00:00:00,17/12/2023,12/15/2023 04:00,three,Bug confirmed in v2.3.1. Hotfix deployed.,Patricia,,False
TKT-01300,CUST-0040,Feature Request,hi,IN_PROGRESS,2025-06-25T00:00:00+09:00,25/06/2025,25-Jun-2025,3,User error - provided step-by-step guide.,Elizabeth,phone,false
TKT-01230,CUST-0272,Feature Request,Medium,in_progress,2024-10-31T00:00:00,"Oct 31, 2024",2024-11-05T00:00:00,3,Provided documentation link for the integration setup.,Richard,Email,False
TKT-00208,CUST-0146,integration,hi,Resolved,2023-03-26T00:00:00,2023/03/26,29/03/2023,N/A,,David,chat,yes
TKT-01057,CUST-0234,Integration,high,Open,10-29-2023+09:00,30-Oct-2023,N/A,4.0,,Richard,email,yes
TKT-00022,CUST-0160,ACCOUNT,CRITICAL,in_progress,2024-12-07T00:00:00-08:00,07/12/2024,2024-12-07T04:00:00,,Issue resolved by resetting the API key and clearing the cache.,Patricia,chat,True
TKT-01850,CUST-0162,Billing,Low,in_progress,10/28/2023 00:00-05:00,,30/10/2023,three,<p>Resolved via <b>live chat</b> session.</p>,Patricia,Phone,Y
TKT-01444,CUST-0433,Feature Request,low,CLOSED,2023-12-12T00:00:00+05:30,2023-12-12T00:30:00,2023-12-14T00:00:00,N/A,Customer was on an outdated plan. Migrated to current tier.,Patricia,Email,True
TKT-00543,CUST-0388,security,CRITICAL,open,05-06-2023,2023/05/07,2023-05-06T12:00:00,N/A,Refund processed as per company policy.,Richard,in-app,yes
TKT-01006,CUST-0339,security,critical,Open,2024-03-10T00:00:00-05:00,11-Mar-2024,03/13/2024 00:00,4 stars,Bug confirmed in v2.3.1. Hotfix deployed.,Patricia,Email,false
TKT-01081,CUST-0493,integration,medium,resolved,10-May-2024-08:00,05/10/2024 12:00,2024-05-13,4,Customer was on an outdated plan. Migrated to current tier.,Karen,phone,yes
TKT-01152,CUST-0499,feature_request,HIGH,CLOSED,2025/09/20,09-20-2025,09/20/2025 04:00,3.0,,Karen,email,N
TKT-01559,CUST-0056,ACCOUNT,Low,Resolved,"Oct 24, 2023-05:00",10-27-2023,2023-10-24,four,<p>Resolved via <b>live chat</b> session.</p>,Jennifer,in-app,false
TKT-00771,CUST-0145,feature_request,CRITICAL,in_progress,2023/01/26Z,2023-01-26T12:00:00,2023-01-31, 4 ,Issue resolved by resetting the API key and clearing the cache.,James,CHAT,False
TKT-01557,CUST-0096,ACCOUNT,hi,Open,10-17-2023,"Oct 17, 2023",27-Oct-2023, 2 ,Refund processed as per company policy.,Joseph,Phone,False
TKT-00798,CUST-0022,Feature Request,CRITICAL,escalated,2023/04/05+03:00,"Apr 05, 2023",15/04/2023,,,Michael,in-app,1
TKT-01086,CUST-0171,account,Low,in_progress,02/13/2024 00:00+03:00,2024-02-13,13/02/2024,5,,Christopher,Email,True
TKT-01223,CUST-0034,ACCOUNT,Low,Resolved,2025/01/23,23/01/2025,01-24-2025, 3 ,Refund processed as per company policy.,Michael,email,True
TKT-00995,CUST-0418,,crit,escalated,06/24/2025 00:00Z,24/06/2025,2025-07-04,4/5,Network issue on customer side. Confirmed with traceroute.,Mary,CHAT,0
TKT-01370,CUST-0185,Billing,critical,CLOSED,2025-09-21T00:00:00Z,,"Sep 21, 2025",N/A,Customer was on an outdated plan. Migrated to current tier.,Christopher,Email,false
TKT-00104,CUST-0269,Integration,Low,resolved,"Jan 02, 2024+09:00","Jan 04, 2024",2024-01-04,2/5,,James,email,yes
TKT-00907,CUST-0124,account,Medium,Open,2023/06/29+00:00,N/A,, 4 ,Bug confirmed in v2.3.1. Hotfix deployed.,Richard,chat,false
TKT-00598,CUST-0286,security,critical,Resolved,10/06/2023-05:00,11/06/2023,2023-06-10,,Network issue on customer side. Confirmed with traceroute.,Jennifer,Phone,yes
TKT-01134,CUST-0450,feature_request,Low,closed,2025-04-27+03:00,2025-04-27,"Apr 30, 2025",4/5,,Jessica,Email,Y
TKT-01673,CUST-0062,Feature Request,Medium,closed,10-03-2023,2023-10-03,10-06-2023,5/5,<div>Fixed the <a href='#'>configuration</a> issue</div>,James,chat,False
TKT-01933,CUST-0201,billing,hi,closed,09-30-2023+09:00,30/09/2023,10/07/2023 00:00,5.0,<p>Resolved via <b>live chat</b> session.</p>,Jessica,in-app,N
TKT-01941,CUST-0440,Integration,high,IN_PROGRESS,2024/06/14-05:00,,06-14-2024, 4 ,,Jessica,email,0
TKT-00896,CUST-0123,technical,CRITICAL,in_progress,19-Dec-2024+00:00,12-21-2024,2024/12/20,,,Patricia,email,no
TKT-01183,CUST-0098,,critical,closed,05-26-2025+00:00,05-28-2025,2025/05/26,three,Customer was on an outdated plan. Migrated to current tier.,Patricia,chat,True
TKT-01012,CUST-0130,billing,low,escalated,26-Mar-2023Z,03-29-2023,2023-03-28T00:00:00,4/5,<div>Fixed the <a href='#'>configuration</a> issue</div>,Sarah,CHAT,True
TKT-01763,CUST-0064,TECHNICAL,critical,escalated,01-19-2025+03:00,2025-01-19,2025-01-22T00:00:00,N/A,,Mary,in-app,yes
TKT-01785,CUST-0242,Feature Request,med,resolved,12-05-2024-08:00,N/A,12/12/2024, 1 ,Network issue on customer side. Confirmed with traceroute.,Sarah,in-app,0
TKT-00644,CUST-0449,feature_request,low,CLOSED,"Dec 19, 2025",2025-12-20T00:00:00,19-Dec-2025,4.0,,Michael,in-app,yes
TKT-00207,CUST-8502,Billing,CRITICAL,closed,30-Jun-2025,2025-06-30T01:00:00,07-05-2025, 4 ,,Robert,Phone,False
TKT-01513,CUST-0049,Feature Request,Medium,open,2023-09-06T00:00:00Z,2023/09/06,09/16/2023 00:00,5 stars,<div>Fixed the <a href='#'>configuration</a> issue</div>,Sarah,CHAT,1
TKT-00342,CUST-0145,feature_request,high,IN_PROGRESS,2025-07-13T00:00:00-05:00,2025-07-13,07/15/2025 00:00,five,Provided documentation link for the integration setup.,Thomas,in-app,0
TKT-00963,CUST-0335,technical,crit,CLOSED,08-29-2023-05:00,"Aug 29, 2023",2023-09-05T00:00:00,4/5,,Sarah,email,True
TKT-00037,CUST-0379,billing,HIGH,IN_PROGRESS,05-25-2024+05:30,05/25/2024 01:00,2024-05-25T08:00:00,5.0,Provided documentation link for the integration setup.,Susan,CHAT,0
TKT-00266,CUST-0444,Billing,Low,open,01-18-2023Z,2023/01/18,25-Jan-2023,5 stars,Issue resolved by resetting the API key and clearing the cache.,William,in-app,false
TKT-00528,CUST-0147,security,crit,open,26/04/2025-05:00,,06-May-2025,1 stars,Escalated to engineering team for further investigation.,Joseph,phone,False
TKT-00277,CUST-0267,Billing,crit,resolved,30-Sep-2025-08:00,2025/09/30,"Oct 05, 2025",,User error - provided step-by-step guide.,Sarah,in-app,False
TKT-01246,CUST-0286,technical,low,resolved,22-Jul-2023+00:00,"Jul 22, 2023",07/22/2023 04:00,5/5,<p>Resolved via <b>live chat</b> session.</p>,Susan,,yes
TKT-00226,CUST-0290,security,Medium,resolved,2024-10-15T00:00:00+09:00,2024-10-17T00:00:00,2024/10/16,3/5,Network issue on customer side. Confirmed with traceroute.,,chat,no
TKT-01936,CUST-0318,security,Low,Resolved,2024-09-20T00:00:00-05:00,2024/09/23,"Sep 27, 2024",4,Provided documentation link for the integration setup.,Robert,phone,False
TKT-01450,CUST-0079,account,medium,in_progress,2024-10-07T00:00:00+03:00,2024-10-08,10-07-2024,,Network issue on customer side. Confirmed with traceroute.,Christopher,chat,0
TKT-00581,CUST-0310,security,medium,Resolved,09/30/2023 00:00Z,09/30/2023 00:30,N/A,5 stars,Bug confirmed in v2.3.1. Hotfix deployed.,Thomas,chat,False
TKT-01264,CUST-0222,billing,medium,closed,2023-07-15T00:00:00,"Jul 16, 2023",2023-07-17T00:00:00,,Escalated to engineering team for further investigation.,Robert,email,true
TKT-00267,CUST-0274,technical,crit,CLOSED,12-10-2025+05:30,12-Dec-2025,20/12/2025, 1 ,Refund processed as per company policy.,Mary,Phone,0
TKT-00038,CUST-0339,TECHNICAL,critical,Open,29/09/2024+09:00,2024-10-02T00:00:00,29/09/2024,five,,James,phone,N
TKT-00106,CUST-0184,security,Medium,closed,23-Apr-2025+05:30,25-Apr-2025,2025-04-23T01:00:00,three,Network issue on customer side. Confirmed with traceroute.,,Email,N
TKT-01911,CUST-8575,Billing,Medium,CLOSED,09/25/2024 00:00,25/09/2024,10/05/2024 00:00,5,Refund processed as per company policy.,Mary,CHAT,0
TKT-01161,CUST-0141,ACCOUNT,hi,CLOSED,2023-08-01-05:00,01-Aug-2023,2023/08/03,four,,Robert,in-app,0
TKT-00116,CUST-0297,,CRITICAL,CLOSED,2025-05-25,,05/25/2025 02:00,3.0,<p>Resolved via <b>live chat</b> session.</p>,Linda,phone,true
TKT-00336,CUST-0368,Integration,HIGH,CLOSED,2024-05-22Z,,,three,,Christopher,phone,no
TKT-01503,CUST-0500,Integration,critical,Open,2024-07-24T00:00:00,2024-07-24T02:00:00,N/A,5 stars,Customer was on an outdated plan. Migrated to current tier.,David,Email,false
TKT-01415,CUST-0194,Feature Request,crit,open,04/04/2024,04-04-2024,11-Apr-2024,N/A,Issue resolved by resetting the API key and clearing the cache.,David,chat,false
